epoch,loss
0,71727027585024.0
1,71727019196416.0
2,71727019196416.0
3,71727019196416.0
4,71727019196416.0
5,71727019196416.0
6,71727019196416.0
7,71727019196416.0
8,71727019196416.0
9,71727019196416.0
10,71727019196416.0
11,71727019196416.0
12,71727019196416.0
13,71727019196416.0
14,71727019196416.0
15,71727019196416.0
16,71727019196416.0
17,71727019196416.0
18,71727019196416.0
19,71727019196416.0
20,71727019196416.0
21,71727019196416.0
22,71727019196416.0
23,71727019196416.0
24,71727019196416.0
25,71727019196416.0
26,71727019196416.0
27,71727019196416.0
28,71727019196416.0
29,71727019196416.0
30,71727019196416.0
31,71727019196416.0
32,71727019196416.0
33,71727019196416.0
34,71727019196416.0
35,71727019196416.0
36,71727019196416.0
37,71727019196416.0
38,71727019196416.0
39,71727019196416.0
40,71727019196416.0
41,71727019196416.0
42,71727019196416.0
43,71727019196416.0
44,71727019196416.0
45,71727019196416.0
46,71727019196416.0
47,71727019196416.0
48,71727019196416.0
49,71727019196416.0
50,71727019196416.0
51,71727019196416.0
52,71727019196416.0
53,71727019196416.0
54,71727019196416.0
55,71727019196416.0
56,71727019196416.0
57,71727019196416.0
58,71727019196416.0
59,71727019196416.0
60,71727019196416.0
61,71727019196416.0
62,71727019196416.0
63,71727019196416.0
64,71727019196416.0
65,71727019196416.0
66,71727019196416.0
67,71727019196416.0
68,71727019196416.0
69,71727019196416.0
70,71727019196416.0
71,71727019196416.0
72,71727019196416.0
73,71727019196416.0
74,71727019196416.0
75,71727019196416.0
76,71727019196416.0
77,71727019196416.0
78,71727019196416.0
79,71727019196416.0
80,71727019196416.0
81,71727019196416.0
82,71727019196416.0
83,71727019196416.0
84,71727019196416.0
85,71727019196416.0
86,71727019196416.0
87,71727019196416.0
88,71727019196416.0
89,71727019196416.0
90,71727019196416.0
91,71727019196416.0
92,71727019196416.0
93,71727019196416.0
94,71727019196416.0
95,71727019196416.0
96,71727019196416.0
97,71727019196416.0
98,71727019196416.0
99,71727019196416.0
100,71727019196416.0
101,71727019196416.0
102,71727019196416.0
103,71727019196416.0
104,71727019196416.0
105,71727019196416.0
106,71727019196416.0
107,71727019196416.0
108,71727019196416.0
109,71727019196416.0
